id,P-006,P-015,P-027,P-031,P-032,P-043,P-045,P-050,P-055,P-065,P-070,P-074,Genus
ASV0048,20,8,17,67,15,11,19,23,34,0,31,212,Bifidobacterium
ASV0049,0,0,0,0,0,0,0,0,0,0,0,0,Atopobium
ASV0050,5,2,206,29,0,205,150,12,12,0,4,367,Enterococcus
ASV0051,4,0,1,0,0,0,0,1,0,0,0,0,Negativicoccus
ASV0052,0,0,0,0,0,0,0,0,0,0,0,0,Dialister
ASV0053,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0054,0,0,0,0,0,0,0,0,0,0,0,0,Morganella
ASV0055,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0056,0,72,0,40,57,0,20,1,0,0,327,0,Clostridium sensu stricto 1
ASV0057,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0058,0,0,0,0,0,0,0,0,0,0,0,0,Sutterella
ASV0059,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0060,0,0,0,1,2,0,2,0,0,0,0,0,Veillonella
ASV0061,0,0,36,0,0,188,0,2,13,0,0,1803,Pseudomonas
ASV0062,0,0,0,0,0,0,0,0,0,0,0,0,Finegoldia
ASV0063,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0064,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0065,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0066,0,41,0,39,84,0,47,0,1,0,103,3,Eubacterium
ASV0067,0,0,0,0,0,0,0,0,0,0,0,0,Intestinibacter
ASV0068,10,0,5,12,0,2,16,6,15,0,0,41,Clostridium sensu stricto 1
ASV0069,0,62,0,101,55,0,100,0,0,0,146,735,Lachnoclostridium
ASV0070,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae NK3A20 group
ASV0071,0,0,0,0,0,0,0,0,0,0,0,0,Paenibacillus
ASV0072,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0073,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0074,0,0,0,0,0,0,0,0,0,0,0,0,Citrobacter
ASV0075,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0076,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0077,0,0,0,0,0,0,0,0,0,0,0,0,Anaerococcus
ASV0078,0,0,0,0,0,0,0,0,0,0,0,0,Varibaculum
ASV0079,51,4,27,12,4,37,6,33,56,0,32,778,Enterococcus
ASV0080,0,0,0,0,0,0,0,0,0,0,0,0,Deinococcus
ASV0081,0,0,0,0,0,0,0,0,0,0,0,0,Pseudoflavonifractor
ASV0082,0,0,0,0,0,0,0,0,0,0,0,0,Bacillus
ASV0083,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_7
ASV0084,1,34,0,62,34,0,49,0,0,0,67,455,Lachnoclostridium
ASV0085,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group
ASV0086,0,0,0,0,0,0,0,0,0,0,0,0,Dialister
ASV0087,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0088,0,0,0,0,0,0,0,0,0,0,0,0,Alloprevotella
ASV0089,0,0,0,0,0,0,0,0,0,0,0,0,Weissella
ASV0090,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0091,0,0,0,0,0,0,0,0,0,0,0,0,Roseburia
ASV0092,0,0,0,0,0,0,0,0,0,0,0,0,Desulfovibrio
ASV0093,0,0,0,0,0,0,0,0,0,0,0,0,Actinomyces
ASV0094,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group
ASV0095,0,0,0,0,0,0,0,0,0,0,0,0,Paraprevotella
ASV0096,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0097,0,0,0,0,0,0,0,0,0,0,0,6,unknown
ASV0098,0,0,0,0,0,0,0,0,0,0,0,0,Butyricicoccus
ASV0099,0,0,0,0,0,0,0,0,0,0,0,0,Staphylococcus
ASV0100,0,0,0,0,0,0,0,0,0,0,0,0,Anaerococcus
ASV0101,0,0,0,0,0,0,0,0,0,0,0,0,Lactiplantibacillus
ASV0102,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0103,0,2,0,29,14,0,32,0,0,0,15,0,Lysinibacillus
ASV0104,0,0,0,0,0,0,0,0,0,0,0,0,Sutterella
ASV0105,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0106,0,0,0,0,0,0,0,0,0,0,0,0,Fusobacterium
ASV0107,39,17,26,14,13,12,14,40,57,0,32,335,Eggerthella
ASV0108,0,0,0,0,0,0,0,0,0,0,0,0,Eggerthella
ASV0109,0,0,0,0,0,0,0,0,0,0,0,0,Levilactobacillus
ASV0110,0,0,0,0,0,0,0,0,0,0,0,0,Acinetobacter
ASV0111,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0112,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0113,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0114,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0115,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0116,0,0,0,0,0,0,0,0,0,0,0,0,Sellimonas
ASV0117,0,0,0,0,0,0,0,0,0,0,2,19,Enterococcus
ASV0118,0,0,0,0,0,0,0,0,0,0,0,0,Dorea
ASV0119,3,4,0,8,3,3,11,0,17,0,0,46,[Ruminococcus] gnavus group
ASV0120,0,0,0,0,0,0,0,0,0,0,0,0,Negativicoccus
ASV0121,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0122,0,3,3,9,7,5,6,2,8,0,8,41,[Ruminococcus] gnavus group
ASV0123,0,9,0,5,6,0,7,0,0,0,8,0,Lachnoclostridium
ASV0124,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0125,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0126,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0127,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus
ASV0128,0,0,16,0,0,55,0,0,0,0,0,626,Streptococcus
ASV0129,0,0,0,0,0,0,0,0,0,0,0,0,Lactococcus
ASV0130,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0131,0,0,0,0,0,0,0,0,0,0,0,0,Anaerococcus
ASV0132,0,0,0,0,0,0,0,0,0,0,0,0,Erysipelatoclostridium
ASV0133,0,5,0,2,2,0,0,2,0,0,5,0,Propionibacterium
ASV0134,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0135,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0136,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0137,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0138,2,0,0,1,0,0,0,1,3,0,0,5,Limosilactobacillus
ASV0139,0,5,0,22,11,0,12,2,0,0,33,158,Lachnoclostridium
ASV0140,0,0,0,0,0,0,2,0,0,0,0,0,Clostridium sensu stricto 1
ASV0141,0,0,0,0,0,0,0,0,0,0,0,0,Anaerococcus
ASV0142,5,10,14,34,5,12,33,0,16,0,28,286,[Ruminococcus] gnavus group
ASV0143,0,0,0,0,0,0,0,0,0,0,0,0,Actinomyces
ASV0144,0,0,0,0,0,0,0,0,0,0,0,0,Paraprevotella
ASV0145,0,18,0,24,7,0,19,0,0,0,28,149,Lachnoclostridium
ASV0146,23,9,19,19,11,16,15,27,21,0,18,337,Libanicoccus
ASV0147,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0148,0,0,0,0,0,0,0,0,0,0,0,0,UCG-002
ASV0149,0,9,0,24,15,15,19,0,21,0,25,288,Collinsella
ASV0150,0,0,0,0,0,0,0,0,0,0,0,0,HT002
ASV0151,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] gnavus group
ASV0152,0,0,0,0,0,0,0,0,0,0,0,0,Ligilactobacillus
ASV0153,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0154,0,0,0,0,0,0,0,0,0,0,0,0,Dorea
ASV0155,0,0,0,0,0,0,0,0,0,0,0,0,Stenotrophomonas
ASV0156,0,0,0,0,0,0,0,0,0,0,0,0,Lachnoclostridium
ASV0157,0,0,0,0,0,0,0,0,0,0,0,0,Staphylococcus
ASV0158,0,0,43,0,0,360,3,1,1,0,0,4189,Acinetobacter
ASV0159,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0160,3,0,0,3,0,2,3,0,3,0,1,18,Ligilactobacillus
ASV0161,0,0,0,0,0,0,0,0,0,0,0,0,[Clostridium] innocuum group
ASV0162,0,0,0,8,22,0,8,0,0,0,12,0,Eubacterium
ASV0163,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0164,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0165,0,0,0,0,0,0,0,0,0,0,0,0,Terrisporobacter
ASV0166,0,0,0,0,0,0,0,0,0,0,0,0,Fusicatenibacter
ASV0167,0,0,0,0,0,0,0,0,0,0,0,0,Peptoniphilus
ASV0168,0,0,0,0,0,0,0,0,0,0,0,0,Acidipropionibacterium
ASV0169,0,0,0,0,0,0,0,0,0,0,0,0,Collinsella
ASV0170,0,0,0,0,0,0,0,0,0,0,0,0,Oribacterium
ASV0171,0,0,0,0,0,0,0,0,0,0,0,0,Proteus
ASV0172,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0173,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0174,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0175,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0176,0,0,0,0,0,0,0,0,0,0,0,0,Dialister
ASV0177,0,0,0,0,0,0,0,0,0,0,0,0,Roseburia
ASV0178,0,0,0,0,0,0,0,0,0,0,0,0,Anaerococcus
ASV0179,0,0,0,0,0,0,0,0,0,0,0,0,Paraprevotella
ASV0180,0,0,0,0,0,0,0,0,0,0,0,0,Rhodobacter
ASV0181,0,0,0,0,0,0,0,0,0,0,0,0,Negativicoccus
ASV0182,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0183,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0184,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae UCG-004
ASV0185,0,0,0,0,0,0,0,0,0,0,0,0,Acidaminococcus
ASV0186,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae UCG-010
ASV0187,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] siraeum group
ASV0188,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0189,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0190,150,0,38,0,0,96,0,124,475,0,0,3,Delftia
ASV0191,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae ND3007 group
ASV0192,0,0,0,0,0,0,0,0,0,0,0,0,Stenotrophomonas
ASV0193,0,0,0,0,0,0,0,0,0,0,0,0,Actinomyces
ASV0194,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0195,0,0,4,0,0,81,0,0,5,0,0,66,Pseudomonas
ASV0196,9,0,0,0,0,6,0,6,0,0,4,47,unknown
ASV0197,0,0,0,0,0,0,0,0,0,0,0,0,Eggerthella
ASV0198,0,0,0,0,0,0,0,0,4,0,0,0,Pseudomonas
ASV0199,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0200,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0201,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_7
ASV0202,0,0,0,0,0,0,0,0,0,0,0,0,Coprococcus
ASV0203,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0204,0,0,0,0,0,0,0,0,0,0,0,0,Lactiplantibacillus
ASV0205,0,0,0,0,0,0,0,0,0,0,0,0,Lacticaseibacillus
ASV0206,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0207,0,0,0,0,0,0,0,8,0,0,0,51,Bifidobacterium
ASV0208,0,0,0,0,0,0,0,0,0,0,0,0,Lachnoclostridium
ASV0209,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0210,14,10,0,0,14,0,6,12,0,0,0,0,Lactococcus
ASV0211,0,0,0,0,0,0,2,3,4,0,0,4,Limosilactobacillus
ASV0212,0,0,0,0,0,0,0,0,0,0,0,0,Agathobacter
ASV0213,0,9,0,0,0,0,5,0,0,0,41,0,Clostridium sensu stricto 1
ASV0214,0,0,0,0,0,0,0,0,0,0,0,0,Ligilactobacillus
ASV0215,0,0,0,0,0,0,0,0,0,0,0,28,Clostridium sensu stricto 1
ASV0216,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0217,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 18
ASV0218,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0219,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0220,0,0,0,0,0,0,3,1,0,0,0,0,Lachnoclostridium
ASV0221,68,1,13,65,0,55,5,84,121,0,3,1730,Clostridium sensu stricto 1
ASV0222,0,0,0,0,0,0,0,0,0,0,0,0,Solobacterium
ASV0223,0,0,0,0,0,0,0,0,0,0,0,0,Colidextribacter
ASV0224,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group
ASV0225,1,1,1,2,1,2,5,2,3,0,3,9,Senegalimassilia
ASV0226,0,0,0,0,0,0,0,0,0,0,0,0,Atopobium
ASV0227,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_7
ASV0228,0,0,0,0,0,0,0,0,0,0,0,0,Leuconostoc
ASV0229,0,0,0,0,0,0,0,0,0,0,0,0,Brevundimonas
ASV0230,0,0,0,0,0,0,0,0,0,0,0,0,UCG-003
ASV0231,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0232,0,0,0,0,0,0,0,0,0,0,0,0,Sutterella
ASV0233,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0234,0,0,0,0,0,0,0,0,0,0,0,0,Butyricicoccus
ASV0235,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0236,0,0,0,0,0,0,0,0,0,0,0,0,Dorea
ASV0237,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0238,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0239,0,0,0,0,0,0,0,0,0,0,0,0,Haemophilus
ASV0240,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0241,0,0,0,0,0,0,0,0,0,0,0,0,Propionibacterium
ASV0242,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0243,0,0,0,0,0,0,0,0,0,0,0,0,Anaerococcus
ASV0244,11,0,0,0,7,0,0,11,0,0,0,0,Veillonella
ASV0245,0,0,60,11,0,45,29,0,6,0,1,71,Enterococcus
ASV0246,0,0,0,0,0,0,0,0,0,0,0,0,Escherichia-Shigella
ASV0247,0,0,0,0,0,0,0,0,0,0,0,0,Robinsoniella
ASV0248,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0249,0,0,0,0,0,0,0,0,0,0,0,0,Peptoniphilus
ASV0250,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 13
ASV0251,0,0,0,0,0,0,0,0,0,0,3,2,Veillonella
ASV0252,6,6,0,45,2,13,10,6,11,0,27,196,Ligilactobacillus
ASV0253,0,0,0,0,0,0,0,0,0,0,0,0,Libanicoccus
ASV0254,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0255,0,0,0,0,0,0,0,0,0,0,0,0,Lachnoclostridium
ASV0256,0,0,0,0,0,0,0,0,0,0,0,0,Catabacter
ASV0257,18,6,0,6,11,13,8,20,26,0,12,198,Bacteroides
ASV0258,0,0,0,0,0,0,0,0,0,0,0,0,Acidaminococcus
ASV0259,0,0,0,0,0,0,0,0,0,0,0,0,Subdoligranulum
ASV0260,0,0,0,0,0,0,0,0,0,0,0,0,Dialister
ASV0261,0,0,0,0,0,0,0,0,0,0,0,0,Sutterella
ASV0262,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0263,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0264,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus
ASV0265,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0266,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0267,0,0,0,0,0,0,0,0,0,0,0,0,Olsenella
ASV0268,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0269,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0270,0,0,0,0,0,0,0,0,0,0,0,0,Roseburia
ASV0271,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0272,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae UCG-004
ASV0273,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0274,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0275,0,0,0,0,0,0,0,0,0,0,0,0,Coprococcus
ASV0276,0,0,0,0,0,0,0,0,0,0,0,0,Colidextribacter
ASV0277,0,0,0,0,0,0,0,0,0,0,0,0,Butyricicoccus
ASV0278,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0279,0,0,0,0,0,0,0,0,0,0,0,0,Atopobium
ASV0280,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus
ASV0281,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0282,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0283,0,0,0,0,0,0,0,0,0,0,0,0,Catenibacterium
ASV0284,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0285,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0286,0,0,0,0,0,0,0,0,0,0,0,0,Terrisporobacter
ASV0287,0,0,0,0,0,0,0,0,0,0,0,0,Megamonas
ASV0288,0,0,0,0,0,0,0,0,0,0,0,0,Fusobacterium
ASV0289,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0290,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0291,0,0,0,0,0,0,0,0,0,0,0,0,Actinomyces
ASV0292,0,0,0,0,0,0,0,0,0,0,0,0,Fusobacterium
ASV0293,0,0,0,0,0,0,0,0,0,0,0,0,Fournierella
ASV0294,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes
ASV0295,0,0,0,0,0,0,0,0,0,0,0,0,Olsenella
ASV0296,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0297,0,0,0,0,0,0,0,0,0,0,0,0,Variovorax
ASV0298,0,0,0,0,0,0,0,0,0,0,0,0,Gordonibacter
ASV0299,0,0,0,0,0,0,0,0,0,0,0,0,Erysipelotrichaceae UCG-003
ASV0300,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0301,0,0,0,0,0,0,0,0,0,0,0,0,Cetobacterium
ASV0302,0,0,0,0,0,0,0,0,0,0,0,0,Romboutsia
ASV0303,0,0,0,0,0,0,0,0,0,0,0,0,Peptoniphilus
ASV0304,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0305,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group
ASV0306,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus
ASV0307,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae UCG-004
ASV0308,15,0,8,0,0,4,0,8,11,0,7,29,unknown
ASV0309,0,0,0,0,0,0,0,0,0,0,0,0,Paraclostridium
ASV0310,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] gauvreauii group
ASV0311,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospira
ASV0312,0,0,0,0,0,0,0,0,0,0,0,0,Campylobacter
ASV0313,0,0,0,0,0,0,0,0,0,0,0,0,Intestinimonas
ASV0314,0,0,0,0,0,0,0,0,0,0,0,0,Oscillibacter
ASV0315,0,0,0,0,0,0,0,0,0,0,0,0,Butyricicoccus
ASV0316,0,0,0,0,0,0,0,0,0,0,0,0,Mogibacterium
ASV0317,0,0,0,0,0,0,0,0,0,0,0,0,Olsenella
ASV0318,0,0,0,0,0,0,0,0,0,0,0,0,Slackia
ASV0319,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0320,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0321,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0322,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0323,0,0,0,0,0,0,0,0,0,0,0,0,Allisonella
ASV0324,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0325,0,0,0,0,0,0,0,0,0,0,0,0,Bilophila
ASV0326,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0327,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0328,0,0,0,20,0,0,0,0,0,0,0,115,Ligilactobacillus
ASV0329,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae NK4A136 group
ASV0330,0,0,0,0,0,0,0,0,0,0,0,0,Holdemanella
ASV0331,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0332,0,0,0,0,0,0,0,0,0,0,0,0,Campylobacter
ASV0333,0,0,0,0,0,0,0,0,0,0,0,0,Limosilactobacillus
ASV0334,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] eligens group
ASV0335,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0336,0,0,0,0,0,0,0,0,0,0,0,0,Oribacterium
ASV0337,0,0,0,0,0,0,0,0,0,0,0,0,Butyricicoccus
ASV0338,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae NK4A136 group
ASV0339,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0340,0,0,0,0,0,0,0,0,0,0,0,0,Methanobrevibacter
ASV0341,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0342,0,0,0,0,0,0,0,0,0,0,0,0,UCG-002
ASV0343,0,0,0,0,0,0,0,0,0,0,0,0,Hathewaya
ASV0344,0,0,0,0,0,0,0,0,0,0,0,0,Incertae Sedis
ASV0345,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0346,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0347,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group
ASV0348,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0349,0,0,0,0,0,0,0,0,0,0,0,0,Monoglobus
ASV0350,0,0,0,0,0,0,0,0,0,0,0,0,Marvinbryantia
ASV0351,0,0,0,0,0,0,0,0,0,0,0,0,Limosilactobacillus
ASV0352,0,0,0,0,0,0,0,0,0,0,0,0,Alloprevotella
ASV0353,0,0,0,0,0,0,0,0,0,0,0,0,Bilophila
ASV0354,0,0,0,0,0,0,0,0,0,0,0,0,Fusobacterium
ASV0355,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes
ASV0356,0,0,0,0,0,0,0,0,0,0,0,0,Terrisporobacter
ASV0357,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0358,0,0,0,0,0,0,0,4,0,0,0,30,Enterococcus
ASV0359,0,0,0,0,0,0,0,0,0,0,0,0,Terrisporobacter
ASV0360,0,0,0,0,0,0,0,0,0,0,0,0,Terrisporobacter
ASV0361,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0362,0,0,0,0,0,0,0,0,0,0,0,0,Actinomyces
ASV0363,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
